Time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gesture
1.713,2.744645,1.4927857,6.7014904,0.23306952,0.35267085,0.5050389,str_des
1.722,1.5028915,0.51090807,6.029541,0.27460837,0.61900806,0.54902124,str_des
1.733,-0.21234989,-0.6094117,3.4407256,0.26666713,0.6636012,0.6003339,str_des
1.743,-3.110787,-2.0094643,0.5516095,0.31920153,0.6379449,0.69379634,str_des
1.755,-4.0016365,-2.0790048,-0.31860948,0.41388565,0.5658628,0.8116933,str_des
1.762,-4.4180274,-1.8019699,-0.8696389,0.54888684,0.47117868,0.9118752,str_des
1.772,-4.9187756,-1.5680954,-1.3582811,0.7132096,0.41864428,0.97418344,str_des
1.783,-5.2344904,-1.4236808,-2.0514789,0.8695911,0.34228614,1.0236635,str_des
1.793,-5.1889553,-1.2686814,-2.7917078,1.0271944,0.22194566,1.0468763,str_des
1.803,-4.442982,-0.81386054,-3.9369764,1.1982366,0.054568592,1.0102245,str_des
1.812,-3.2121334,-0.26722383,-5.753254,1.3057489,-0.107921556,0.8660603,str_des
1.822,-2.3561506,-0.08482641,-7.12842,1.3246857,-0.28568333,0.5642929,str_des
1.832,-1.4496856,-0.32355857,-8.208384,1.2935315,-0.47566244,0.4079114,str_des
1.843,-0.5571041,-0.45190322,-8.753696,1.2727622,-0.7444432,0.2564168,str_des
1.857,0.35694695,-0.14825171,-9.105467,1.1475348,-1.0046717,0.104922205,str_des
1.862,1.7269115,0.6990975,-8.338565,0.7761287,-1.1653293,-0.001368342,str_des
1.872,3.8782463,2.0449312,-4.720736,0.32653192,-1.1366186,-0.060011405,str_des
1.882,7.5181255,3.7240272,2.1929624,0.16220917,-0.82385564,-0.14186735,str_des
1.892,10.385695,3.5320423,5.6882973,0.2984321,-0.36570668,-0.2041756,str_des
1.902,11.821089,1.3442721,3.9160278,0.41510737,-0.032785136,-0.24510358,str_des
1.912,12.003724,-0.32184598,1.5575836,0.41510737,0.1370354,-0.28419894,str_des
1.922,10.941131,-2.0150104,1.9045398,0.41510737,0.35572517,-0.2866424,str_des
1.933,6.6338634,-3.9970589,3.8173587,0.42610294,0.7332399,-0.100328505,str_des
1.942,3.5720081,-3.595579,3.7222111,0.42365947,0.93360364,0.089650586,str_des
1.952,1.2082319,-2.4870868,2.7136292,0.45725706,0.8578564,0.21609968,str_des
1.962,-0.50066566,-1.9259812,1.1702943,0.49635243,0.6379449,0.33277497,str_des
1.973,-1.5853124,-1.4004384,0.638026,0.67777944,0.24271508,0.35537696,str_des
1.982,-1.8152747,-1.2107854,0.246521,0.7804048,0.006921105,0.30284256,str_des
1.993,-1.6352115,-1.0800397,-0.44489527,0.7620788,-0.21726644,0.20938016,str_des
2.003,-1.8282504,-1.2784456,-1.3996485,0.62402326,-0.45244956,0.16784133,str_des
2.013,-2.4483523,-1.3906206,-1.6246682,0.46519834,-0.6412069,0.17089565,str_des
2.023,-2.487018,-0.9483812,-0.63742423,0.32897538,-0.7310041,0.17394999,str_des
2.033,-2.045793,-0.46842998,0.59376264,0.2758301,-0.7175651,0.17272826,str_des
2.042,-1.4694796,-0.22802523,1.4691007,0.26116934,-0.6015007,0.13241115,str_des
2.052,-0.95624924,-0.19047022,1.9174638,0.22635001,-0.41824108,0.06093991,str_des
2.062,-0.7206297,0.028523207,2.4924252,0.15121359,-0.22642942,-0.023970354,str_des
2.072,-0.84243584,0.32653147,2.8928142,0.079131484,-0.01323745,-0.11132409,str_des
2.082,-1.3364668,0.5874945,2.9426258,0.019266691,0.16452433,-0.19440176,str_des
2.092,-1.9510579,0.5599606,2.5665631,0.011325442,0.30991027,-0.2744251,str_des
2.103,-2.378407,0.34095806,2.078959,0.055918604,0.37527287,-0.342842,str_des
2.113,-2.8218718,0.055817723,1.8072062,0.23734559,0.41986603,-0.4540195,str_des
2.122,-3.1303248,-0.19152504,1.3239877,0.37479028,0.45773968,-0.5487036,str_des
2.132,-3.7805228,-0.6584177,0.52032566,0.4554245,0.4345268,-0.6183422,str_des
2.143,-4.224864,-1.078544,0.07865715,0.5305609,0.34778392,-0.60673577,str_des
2.153,-4.7152905,-1.2856419,-0.041461468,0.6313537,0.23171951,-0.569473,str_des
2.165,-5.455825,-1.6674498,-0.05956483,0.7578028,0.04601648,-0.45463035,str_des
2.172,-5.889409,-1.7160835,0.12564182,0.8714237,-0.12258233,-0.27870116,str_des
2.182,-5.5317063,-1.3500459,-0.22764993,0.9190712,-0.24170105,-0.07100698,str_des
2.192,-4.360699,-0.7555963,-1.7775323,0.8671477,-0.38403264,0.11897211,str_des
2.202,-3.130237,-0.76427025,-3.3607316,0.73336816,-0.4836037,0.27718621,str_des
2.212,-1.721447,-0.9073937,-4.614548,0.5818736,-0.5611836,0.37736812,str_des
2.222,0.062265396,-0.77059805,-5.611433,0.49451986,-0.6564786,0.38897455,str_des
2.232,1.8114538,-0.74531245,-6.6548777,0.4566462,-0.7523844,0.35720956,str_des
2.242,3.5153341,-0.61277413,-7.529484,0.40350094,-0.8024754,0.35049006,str_des
2.252,4.742263,-0.16407937,-7.4576406,0.3179798,-0.64670473,0.4079114,str_des
2.268,5.408839,0.26513827,-6.240904,0.29476693,-0.43778878,0.52947354,str_des
2.273,6.0565424,0.7418667,-3.933317,0.2788844,-0.15679078,0.67669207,str_des
2.282,7.6003275,1.7978189,-0.30605745,0.30515164,0.3905445,0.69135284,str_des
2.293,9.898348,3.0469146,5.43841,0.42488122,1.1394652,0.6027774,str_des
2.302,9.465621,3.0044184,8.060253,0.61241686,1.743611,0.5080933,str_des
2.312,4.2252655,0.7020742,3.035071,0.7907895,1.9635224,0.42745906,str_des
2.323,2.915183,0.13171002,0.31144738,0.80789375,1.9140424,0.32972065,str_des
2.332,2.0760708,-0.09754646,-0.9332218,0.71076614,1.7307829,0.21548882,str_des
2.342,1.1482649,-0.58142513,-0.7220874,0.6295211,1.4192415,0.14340672,str_des
2.352,0.424551,-1.1959298,0.14031506,0.6099734,1.000188,0.16173267,str_des
2.362,0.17579746,-1.5162077,1.8591809,0.6545665,0.6409992,0.26557976,str_des
2.372,0.5728226,-1.1193463,2.9710426,0.7736853,0.5249348,0.3883637,str_des
2.382,0.8815775,-0.75845075,2.679518,0.9086865,0.4919481,0.44089812,str_des
2.392,0.9199314,-0.77069646,1.9573197,1.0253618,0.43635938,0.41585264,str_des
2.402,0.597291,-0.87241554,1.5156174,1.0528507,0.3954314,0.3724812,str_des
2.412,0.20250797,-0.63679624,1.0544491,1.0565159,0.32762536,0.32300112,str_des
2.422,-0.2825346,-0.16932023,0.22589445,1.0430769,0.1950676,0.27352104,str_des
2.432,-1.3323283,0.14167818,-0.2744882,1.0442985,0.003255911,0.2668015,str_des
2.442,-2.3744206,0.30785483,-0.56760454,1.0626246,-0.18794492,0.29245785,str_des
2.453,-3.2830114,0.5350126,-1.0796804,1.0736201,-0.38158917,0.34132707,str_des
2.463,-4.0323815,0.67623687,-0.8526621,1.0980548,-0.53674895,0.4091331,str_des
2.473,-4.484652,0.750323,-0.4113834,1.128598,-0.64853734,0.48365867,str_des
2.482,-4.5924726,0.79294634,-0.0831697,1.1475348,-0.74322146,0.55329734,str_des
2.492,-4.2434435,0.87846863,0.5219624,1.173802,-0.80858403,0.62171423,str_des
2.502,-3.4057856,0.82536656,1.3864925,1.1945714,-0.7988102,0.681579,str_des
2.512,-2.6105208,0.6349296,1.76947,1.1640282,-0.70473695,0.7341134,str_des
2.522,-1.8943181,0.52807635,1.5773492,1.0461311,-0.54407936,0.7524394,str_des
2.532,-1.6518254,0.5430746,1.1977665,0.8335501,-0.35715458,0.76648927,str_des
2.542,-1.8988881,0.53354603,1.0791094,0.82133275,-0.33638516,0.80191946,str_des
2.552,-2.3356795,0.5386454,1.3566749,0.94839275,-0.3510459,0.8660603,str_des
2.562,-2.703236,0.3675982,1.5653224,1.1450913,-0.38220003,0.9302012,str_des
2.576,-2.8590174,-0.035840273,1.1101148,1.3075815,-0.39808255,0.9705183,str_des
2.583,-3.0712223,-0.6350097,0.35997272,1.382107,-0.40907812,0.9882334,str_des
2.592,-3.2176514,-1.4038763,-1.6979408,1.3149118,-0.4573365,0.9595227,str_des
2.602,-2.6750603,-1.0721296,-2.2354012,1.1139373,-0.54591197,0.8642277,str_des
2.613,-1.5531335,-0.2872557,-1.665376,0.8866953,-0.6522025,0.67913556,str_des
2.622,-0.41782475,0.7540933,-0.15288115,0.7938438,-0.7835385,0.41524178,str_des
2.633,-0.66994,1.1298528,1.6520727,0.8983018,-0.81163836,0.2069367,str_des
2.643,-1.3920598,1.010124,1.7532723,1.1243219,-0.64975905,0.1666196,str_des
2.653,-1.7168689,0.3682279,-0.34151912,1.3014729,-0.48177108,0.2722993,str_des
2.663,-0.8546591,0.13985723,-2.8068728,1.3619485,-0.3883087,0.40730053,str_des
2.678,0.29776382,-0.2573082,-4.807047,1.3362921,-0.4054129,0.49343252,str_des
2.682,1.9433556,0.18545568,-6.164565,1.269097,-0.6393743,0.4463959,str_des
2.693,5.022748,1.4385965,-6.335503,1.2318342,-0.95152646,0.2759645,str_des
2.703,7.387207,1.5225732,-5.334836,1.1896845,-1.0162781,0.010848963,str_des
2.713,9.08298,1.2285762,-3.2834325,1.2232821,-0.75727135,-0.265873,str_des
2.722,9.190594,0.31024113,-2.7578585,1.282536,-0.38708696,-0.428974,str_des
2.732,7.856311,-1.7906843,-2.9819818,1.2794816,-0.08043262,-0.3831591,str_des
2.742,6.4788485,-4.452975,-3.6506028,1.173802,-0.002241876,-0.12293053,str_des
2.752,7.6957283,-7.1102824,-3.5242784,1.0455203,-0.17267329,0.12691335,str_des
2.762,9.437444,-10.030456,-3.0284996,0.9037996,-0.27163345,0.27840796,str_des
2.773,11.823039,-10.009922,-3.7644017,0.64723617,-0.2019948,0.3181142,str_des
2.782,11.827435,-6.4679437,-0.81786823,0.36074036,0.20239797,0.2900144,str_des
2.793,6.740608,-2.7380629,5.3499436,0.430379,0.87740403,0.36881602,str_des
2.802,2.5471325,-1.2754264,5.247963,0.688775,1.1486282,0.43845466,str_des
2.812,0.07385254,-0.9258115,2.0928144,0.8799758,0.89878434,0.49282166,str_des
2.823,-1.0520668,-0.24771383,0.2823193,0.9239581,0.5872431,0.5215323,str_des
2.832,-1.1355762,0.5253432,-1.1972351,0.80545026,0.34900564,0.45800233,str_des
2.842,-1.6138854,0.76540136,-3.2072806,0.59348005,0.08450098,0.4109657,str_des
2.852,-2.0921154,0.99913526,-3.9326453,0.3955597,-0.113419354,0.37736812,str_des
2.862,-2.3558679,1.3525467,-3.9748893,0.23795645,-0.33943948,0.34682485,str_des
2.872,-2.2240968,1.5786626,-3.1653345,0.12677898,-0.6296005,0.29978824,str_des
2.885,-1.1263914,1.2113111,-2.257439,0.046755627,-0.8733357,0.22709526,str_des
2.893,-0.87956524,0.6934176,-0.7921078,-0.01799609,-0.9881784,0.16784133,str_des
2.903,-0.9080095,0.23970526,1.0234523,-0.036322046,-0.9246484,0.123248175,str_des
2.913,-1.0451546,-0.2960555,2.4386246,0.007049386,-0.7102347,0.10675481,str_des
2.923,-1.4443302,-0.9366562,2.6805818,0.09929004,-0.4658886,0.10064615,str_des
2.932,-2.0023613,-1.5842744,2.0206387,0.20496973,-0.26674652,0.08659625,str_des
2.943,-2.6738677,-2.2817903,1.2013848,0.2953778,-0.14579521,0.061550777,str_des
2.953,-3.3195248,-2.9818082,0.4363265,0.37906632,-0.08654128,0.04078136,str_des
2.963,-3.8319087,-3.5289972,-0.20941019,0.51590014,-0.1250258,0.031007517,str_des
2.972,-4.1378508,-3.7885613,-0.88425004,0.58920395,-0.24658798,0.018790212,str_des
